prototype_market_id,cbsa_code,cbsa_name,source_cbsa_name,cbsa_type,reporting_date,prior_year_reporting_date,active_customer_count,prior_year_active_customer_count,source_active_customer_yoy_growth,active_customer_yoy_growth,source_total_households,total_households,active_customers_per_1000_households,source_total_population,total_population,source_avg_zip_median_household_income,avg_zip_median_household_income,source_total_veterinary_clinics,total_veterinary_clinics,source_total_veterinarians,total_veterinarians,clinics_per_10000_households,veterinarians_per_10000_households,source_corporate_clinic_count,corporate_clinic_count,corporate_clinic_share,source_practice_hub_clinic_count,practice_hub_clinic_count,practice_hub_clinic_share,source_total_clinic_order_volume,total_clinic_order_volume,clinic_orders_per_clinic,source_earliest_clinic_opening_date,earliest_clinic_opening_date,source_latest_clinic_opening_date,latest_clinic_opening_date,source_zips_represented_within_cbsa,zips_represented_within_cbsa,customer_extraction_date,clinic_extraction_date,customer_data_source,geography_source,household_income_source,clinic_data_source,population_source,synthetic_fields,prototype_evidence_status,observed_values_preserved,synthetic_method_version,scoring_data_completeness_rate,data_quality_status,ranking_input_status,scoring_eligibility
proto:4ad90d7df3,,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA",metropolitan,2026-07-31,2025-07-31,913575,1035238.0,-0.117522,0.046584,7059428.0,7059428.0,129.41204301538312,19990547.0,19990547.0,98890.921547,98890.921547,1687.0,1687.0,4479.0,4479.0,2.3897120276600314,6.344706681617831,10.0,10.0,0.005927682276229994,643.0,643.0,0.3811499703615886,6589950.0,6589950.0,3906.312981624185,2012-10-16,2012-10-16,2023-12-06,2023-12-06,905.0,905.0,2026-07-31,2026-07-31,EDLDB.CDM.CUSTOMER_AGGREGATE_SNAPSHOT,EDLDB.MRCH_SANDBOX.CBSA_ZIPCODE_MAPPING,EDLDB.MRCH_SANDBOX.MEDIAN_HOUSEHOLD_INCOME_ZIPCODE,EDLDB.MRCH_SANDBOX.CLINIC_PROFILE,EDLDB.MRCH_SANDBOX.CBSA_POPULATION,"active_customer_yoy_growth, active_customers_per_1000_households, clinic_orders_per_clinic, clinics_per_10000_households, corporate_clinic_share, practice_hub_clinic_share, veterinarians_per_10000_households",Hypothesis,True,market-attractiveness-synthetic-v1,1.0,SYNTHETIC_COMPLETE,prototype_ready,synthetic_prototype_only
proto:0bfbb266ed,,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",metropolitan,2026-07-31,2025-07-31,479506,545702.0,-0.121304,0.039846,4371562.0,4371562.0,109.68756705269192,13178547.0,13178547.0,82978.801061,82978.801061,1201.0,1201.0,3165.0,3165.0,2.7473017653644165,7.239975093570673,12.0,12.0,0.009991673605328892,526.0,526.0,0.4379683597002498,3903380.0,3903380.0,3250.1082431307245,2012-10-17,2012-10-17,2023-12-27,2023-12-27,377.0,377.0,2026-07-31,2026-07-31,EDLDB.CDM.CUSTOMER_AGGREGATE_SNAPSHOT,EDLDB.MRCH_SANDBOX.CBSA_ZIPCODE_MAPPING,EDLDB.MRCH_SANDBOX.MEDIAN_HOUSEHOLD_INCOME_ZIPCODE,EDLDB.MRCH_SANDBOX.CLINIC_PROFILE,EDLDB.MRCH_SANDBOX.CBSA_POPULATION,"active_customer_yoy_growth, active_customers_per_1000_households, clinic_orders_per_clinic, clinics_per_10000_households, corporate_clinic_share, practice_hub_clinic_share, veterinarians_per_10000_households",Hypothesis,True,market-attractiveness-synthetic-v1,1.0,SYNTHETIC_COMPLETE,prototype_ready,synthetic_prototype_only
proto:71e5151bff,,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI",metropolitan,2026-07-31,2025-07-31,431715,488067.0,-0.11546,0.05198,3567295.0,3567295.0,121.02026885917762,9435217.0,9435217.0,80431.267327,80431.267327,948.0,948.0,2617.0,2617.0,2.6574757624474565,7.336090791482061,11.0,11.0,0.011603375527426161,319.0,319.0,0.33649789029535865,2895937.0,2895937.0,3054.7858649789027,2012-10-16,2012-10-16,2023-11-09,2023-11-09,404.0,404.0,2026-07-31,2026-07-31,EDLDB.CDM.CUSTOMER_AGGREGATE_SNAPSHOT,EDLDB.MRCH_SANDBOX.CBSA_ZIPCODE_MAPPING,EDLDB.MRCH_SANDBOX.MEDIAN_HOUSEHOLD_INCOME_ZIPCODE,EDLDB.MRCH_SANDBOX.CLINIC_PROFILE,EDLDB.MRCH_SANDBOX.CBSA_POPULATION,"active_customer_yoy_growth, active_customers_per_1000_households, clinic_orders_per_clinic, clinics_per_10000_households, corporate_clinic_share, practice_hub_clinic_share, veterinarians_per_10000_households",Hypothesis,True,market-attractiveness-synthetic-v1,1.0,SYNTHETIC_COMPLETE,prototype_ready,synthetic_prototype_only
proto:6a241ae1fa,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",metropolitan,2026-07-31,2025-07-31,382530,430298.0,-0.111011,0.064692,2307343.0,2307343.0,165.78809479128157,6241967.0,6241967.0,78263.037534,78263.037534,812.0,812.0,2248.0,2248.0,3.5191993561425416,9.742808069714819,6.0,6.0,0.007389162561576354,271.0,271.0,0.33374384236453203,2640488.0,2640488.0,3251.832512315271,2012-10-17,2012-10-17,2023-12-16,2023-12-16,373.0,373.0,2026-07-31,2026-07-31,EDLDB.CDM.CUSTOMER_AGGREGATE_SNAPSHOT,EDLDB.MRCH_SANDBOX.CBSA_ZIPCODE_MAPPING,EDLDB.MRCH_SANDBOX.MEDIAN_HOUSEHOLD_INCOME_ZIPCODE,EDLDB.MRCH_SANDBOX.CLINIC_PROFILE,EDLDB.MRCH_SANDBOX.CBSA_POPULATION,"active_customer_yoy_growth, active_customers_per_1000_households, clinic_orders_per_clinic, clinics_per_10000_households, corporate_clinic_share, practice_hub_clinic_share, veterinarians_per_10000_households",Hypothesis,True,market-attractiveness-synthetic-v1,1.0,SYNTHETIC_COMPLETE,prototype_ready,synthetic_prototype_only
proto:5e6b4fc9fb,,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",metropolitan,2026-07-31,2025-07-31,361500,404001.0,-0.1052,0.081488,2262963.0,2262963.0,159.746314897769,6260311.0,6260311.0,93952.512129,93952.512129,838.0,838.0,2475.0,2475.0,3.703109595693787,10.936988364370075,7.0,7.0,0.008353221957040573,335.0,335.0,0.3997613365155131,2919010.0,2919010.0,3483.305489260143,2012-10-17,2012-10-17,2023-12-16,2023-12-16,371.0,371.0,2026-07-31,2026-07-31,EDLDB.CDM.CUSTOMER_AGGREGATE_SNAPSHOT,EDLDB.MRCH_SANDBOX.CBSA_ZIPCODE_MAPPING,EDLDB.MRCH_SANDBOX.MEDIAN_HOUSEHOLD_INCOME_ZIPCODE,EDLDB.MRCH_SANDBOX.CLINIC_PROFILE,EDLDB.MRCH_SANDBOX.CBSA_POPULATION,"active_customer_yoy_growth, active_customers_per_1000_households, clinic_orders_per_clinic, clinics_per_10000_households, corporate_clinic_share, practice_hub_clinic_share, veterinarians_per_10000_households",Hypothesis,True,market-attractiveness-synthetic-v1,1.0,SYNTHETIC_COMPLETE,prototype_ready,synthetic_prototype_only
proto:4353927ab0,,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH",metropolitan,2026-07-31,2025-07-31,318682,356301.0,-0.105582,0.07876,1854900.0,1854900.0,171.80548816647797,4933650.0,4933650.0,105632.353357,105632.353357,776.0,776.0,2025.0,2025.0,4.183513936061243,10.91703056768559,1.0,1.0,0.001288659793814433,238.0,238.0,0.30670103092783507,2492247.0,2492247.0,3211.658505154639,2012-10-18,2012-10-18,2023-12-12,2023-12-12,283.0,283.0,2026-07-31,2026-07-31,EDLDB.CDM.CUSTOMER_AGGREGATE_SNAPSHOT,EDLDB.MRCH_SANDBOX.CBSA_ZIPCODE_MAPPING,EDLDB.MRCH_SANDBOX.MEDIAN_HOUSEHOLD_INCOME_ZIPCODE,EDLDB.MRCH_SANDBOX.CLINIC_PROFILE,EDLDB.MRCH_SANDBOX.CBSA_POPULATION,"active_customer_yoy_growth, active_customers_per_1000_households, clinic_orders_per_clinic, clinics_per_10000_households, corporate_clinic_share, practice_hub_clinic_share, veterinarians_per_10000_households",Hypothesis,True,market-attractiveness-synthetic-v1,1.0,SYNTHETIC_COMPLETE,prototype_ready,synthetic_prototype_only
proto:743c060bb4,,"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",metropolitan,2026-07-31,2025-07-31,298093,345435.0,-0.13705,0.011558,2662402.0,2662402.0,111.96393332036259,7756927.0,7756927.0,72974.862191,72974.862191,928.0,928.0,2127.0,2127.0,3.4855743047068026,7.9890264505510435,1.0,1.0,0.0010775862068965517,347.0,347.0,0.3739224137931034,2038548.0,2038548.0,2196.7112068965516,2012-10-18,2012-10-18,2023-12-20,2023-12-20,283.0,283.0,2026-07-31,2026-07-31,EDLDB.CDM.CUSTOMER_AGGREGATE_SNAPSHOT,EDLDB.MRCH_SANDBOX.CBSA_ZIPCODE_MAPPING,EDLDB.MRCH_SANDBOX.MEDIAN_HOUSEHOLD_INCOME_ZIPCODE,EDLDB.MRCH_SANDBOX.CLINIC_PROFILE,EDLDB.MRCH_SANDBOX.CBSA_POPULATION,"active_customer_yoy_growth, active_customers_per_1000_households, clinic_orders_per_clinic, clinics_per_10000_households, corporate_clinic_share, practice_hub_clinic_share, veterinarians_per_10000_households",Hypothesis,True,market-attractiveness-synthetic-v1,1.0,SYNTHETIC_COMPLETE,prototype_ready,synthetic_prototype_only
proto:3671c03ebd,,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Alpharetta, GA",metropolitan,2026-07-31,2025-07-31,262861,304170.0,-0.135809,0.012393,2213494.0,2213494.0,118.7538796129558,6224833.0,6224833.0,65974.8,65974.8,804.0,804.0,2077.0,2077.0,3.632266452947241,9.38335500344704,2.0,2.0,0.0024875621890547263,315.0,315.0,0.3917910447761194,1817101.0,1817101.0,2260.0758706467664,2012-10-18,2012-10-18,2023-12-27,2023-12-27,225.0,225.0,2026-07-31,2026-07-31,EDLDB.CDM.CUSTOMER_AGGREGATE_SNAPSHOT,EDLDB.MRCH_SANDBOX.CBSA_ZIPCODE_MAPPING,EDLDB.MRCH_SANDBOX.MEDIAN_HOUSEHOLD_INCOME_ZIPCODE,EDLDB.MRCH_SANDBOX.CLINIC_PROFILE,EDLDB.MRCH_SANDBOX.CBSA_POPULATION,"active_customer_yoy_growth, active_customers_per_1000_households, clinic_orders_per_clinic, clinics_per_10000_households, corporate_clinic_share, practice_hub_clinic_share, veterinarians_per_10000_households",Hypothesis,True,market-attractiveness-synthetic-v1,1.0,SYNTHETIC_COMPLETE,prototype_ready,synthetic_prototype_only
proto:8638c6a3ac,,"Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Pompano Beach, FL",metropolitan,2026-07-31,2025-07-31,234639,270551.0,-0.132737,0.017301,2182297.0,2182297.0,107.51927899822984,6133365.0,6133365.0,67830.790323,67830.790323,908.0,908.0,1978.0,1978.0,4.160753554626158,9.063844197192225,6.0,6.0,0.006607929515418502,376.0,376.0,0.41409691629955947,2241434.0,2241434.0,2468.5396475770926,2012-10-17,2012-10-17,2023-12-23,2023-12-23,186.0,186.0,2026-07-31,2026-07-31,EDLDB.CDM.CUSTOMER_AGGREGATE_SNAPSHOT,EDLDB.MRCH_SANDBOX.CBSA_ZIPCODE_MAPPING,EDLDB.MRCH_SANDBOX.MEDIAN_HOUSEHOLD_INCOME_ZIPCODE,EDLDB.MRCH_SANDBOX.CLINIC_PROFILE,EDLDB.MRCH_SANDBOX.CBSA_POPULATION,"active_customer_yoy_growth, active_customers_per_1000_households, clinic_orders_per_clinic, clinics_per_10000_households, corporate_clinic_share, practice_hub_clinic_share, veterinarians_per_10000_households",Hypothesis,True,market-attractiveness-synthetic-v1,1.0,SYNTHETIC_COMPLETE,prototype_ready,synthetic_prototype_only
proto:b31ff8591b,,"San Francisco-Oakland-Berkeley, CA","San Francisco-Oakland-Berkeley, CA",metropolitan,2026-07-31,2025-07-31,228929,253401.0,-0.096574,0.110988,1707905.0,1707905.0,134.04082779779904,4740838.0,4740838.0,119730.361582,119730.361582,581.0,581.0,1679.0,1679.0,3.401828556037953,9.830757565555462,2.0,2.0,0.0034423407917383822,208.0,208.0,0.35800344234079173,1783577.0,1783577.0,3069.8399311531844,2012-10-15,2012-10-15,2023-12-26,2023-12-26,177.0,177.0,2026-07-31,2026-07-31,EDLDB.CDM.CUSTOMER_AGGREGATE_SNAPSHOT,EDLDB.MRCH_SANDBOX.CBSA_ZIPCODE_MAPPING,EDLDB.MRCH_SANDBOX.MEDIAN_HOUSEHOLD_INCOME_ZIPCODE,EDLDB.MRCH_SANDBOX.CLINIC_PROFILE,EDLDB.MRCH_SANDBOX.CBSA_POPULATION,"active_customer_yoy_growth, active_customers_per_1000_households, clinic_orders_per_clinic, clinics_per_10000_households, corporate_clinic_share, practice_hub_clinic_share, veterinarians_per_10000_households",Hypothesis,True,market-attractiveness-synthetic-v1,1.0,SYNTHETIC_COMPLETE,prototype_ready,synthetic_prototype_only
